route_id,direction_id,stop_sequence,stop_id,is_opt
13,1,12,238,0
13,1,13,240,0
13,1,14,666,0
13,1,15,317,0
13,1,16,318,0
14,0,1,527,0
14,0,2,86,0
14,0,3,784,0
14,0,4,252,0
14,0,5,40,0
14,0,6,602,0
14,0,7,253,0
14,0,8,18,0
14,0,9,659,0
14,0,10,158,0
14,0,11,782,0
14,0,12,300,0
14,0,13,297,0
14,0,14,27,0
14,0,15,295,0
14,0,16,29,0
14,1,1,29,0
14,1,2,296,0
14,1,3,28,0
14,1,4,298,0
14,1,5,299,0
14,1,6,783,0
14,1,7,159,0
14,1,8,658,0
14,1,9,254,0
14,1,9,255,0
14,1,9,601,0
14,1,9,41,0
14,1,9,69,0
14,1,9,527,0
16,0,1,339,0
16,0,2,58,0
16,0,3,66,0
16,0,4,892,0
16,0,5,61,0
16,0,6,64,0
16,0,7,827,0
16,0,8,79,0
16,0,9,83,0
16,0,10,679,0
16,0,11,127,0
16,0,12,125,0
16,0,13,124,0
16,0,14,141,0
16,0,15,143,0
16,0,16,427,0
16,0,17,854,0
16,1,2,854,0
16,1,3,426,0
16,1,4,142,0
16,1,5,140,0
16,1,6,123,0
16,1,7,290,0
16,1,8,678,0
16,1,9,129,0
16,1,10,677,0
16,1,11,78,0
16,1,12,828,0
16,1,13,63,0
16,1,14,62,0
16,1,15,824,0
16,1,16,340,0
16,1,17,339,0
17,0,1,919,0
17,0,2,266,0
17,0,3,860,0
17,0,4,268,0
17,0,5,271,0
17,0,6,210,0
17,0,7,264,0
17,0,8,207,0
17,0,9,185,0
17,0,10,186,0
17,0,11,188,0
17,0,12,190,0
17,0,13,192,0
17,0,14,350,0
17,0,15,931,0
17,0,16,932,0
17,0,17,935,0
17,0,18,305,0
17,0,19,307,0
17,0,20,930,0
17,0,21,647,0
17,1,1,647,0
17,1,2,646,0
17,1,3,645,0
17,1,4,306,0
17,1,5,262,0
17,1,6,934,0
17,1,7,933,0
17,1,8,417,0
17,1,9,194,0
17,1,10,193,0
17,1,11,191,0
17,1,12,968,0
17,1,13,272,0
17,1,14,189,0
17,1,15,187,0
17,1,16,184,0
17,1,17,210,0
17,1,18,208,0
17,1,19,207,0
17,1,20,270,0
17,1,21,269,0
17,1,22,860,0
17,1,23,265,0
17,1,24,918,0
18,1,1,861,0
18,1,2,864,0
18,1,3,331,0
18,1,4,691,0
18,1,5,689,0
18,1,6,334,0
18,1,7,264,0
18,1,8,207,0
18,1,9,185,0
18,1,10,186,0
18,1,11,188,0
18,1,12,190,0
18,1,13,192,0
18,1,14,350,0
18,1,15,349,0
18,1,16,565,0
18,1,17,641,0
18,1,18,567,0
18,1,19,568,0
18,1,20,647,0
18,1,21,646,0
18,1,22,645,0
18,1,23,306,0
18,1,24,262,0
18,1,25,634,0
18,1,26,417,0
18,1,27,194,0
18,1,28,193,0
18,1,29,191,0
18,1,30,189,0
18,1,31,187,0
18,1,32,184,0
18,1,33,210,0
18,1,34,354,0
18,1,35,208,0
18,1,36,335,0
18,1,37,725,0
18,1,38,332,0
18,1,39,861,0
A,1,1,81,0
A,1,2,83,0
A,1,3,679,0
A,1,4,127,0
A,1,5,131,0
A,1,6,136,0
A,0,1,137,0
A,0,2,130,0
A,0,3,678,0
A,0,4,129,0
A,0,5,677,0
A,0,6,329,0
B,1,1,859,0
B,1,2,716,0
B,1,3,313,0
B,1,4,688,0
B,1,5,248,0
B,1,6,247,0
B,1,7,113,0
B,1,8,843,0
B,1,9,136,0
B,0,1,137,0
B,0,2,844,0
